CODIGO,BARRAS,PRODUTO,UNIDADE,VENDA1,VENDA2,VENDA3,ESTOQUE,GRUPO,SUBGRUPO,RESUMO,APLICACAO,LOCAL,FABRICANTE,CODFABRICA,OBS,REFER
1034,0,.,UNID,8.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
1050,0,.,UNID,6.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
1054,0,.,UNID,3.50,0.00,0.00,-2,0-,0-,.,,,,,,00000000000
1055,0,.,UNID,3.50,0.00,0.00,-8,0-,0-,.,,,,,,00000000000
1660,0,.,UNID,12.00,0.00,0.00,-1,0-,0-,.,,,,,,00000000000
1661,0,.,UNID,15.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2083,0,.,UNID,8.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2113,0,.,UNID,30.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2115,0,.,UNID,69.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2116,0,.,UNID,34.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2117,0,.,UNID,10.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2118,0,.,UNID,13.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2119,0,.,UNID,58.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2122,0,.,UNID,42.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2123,0,.,UNID,0.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2132,0,.,UNID,3.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2146,0,.,UNID,3.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2148,0,.,UNID,30.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2184,0,.,UNID,0.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2185,0,.,UNID,57.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2203,0,.,UNID,12.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2211,0,.,UNID,10.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2214,0,.,UNID,26.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2218,0,.,UNID,65.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2226,0,.,UNID,13.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2245,0,.,UNID,72.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2246,0,.,UNID,0.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2268,0,.,UNID,15.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
